Symbol,FileNames
XEM,crypto_currencies/coin_NEM.csv
EOS,crypto_currencies/coin_EOS.csv
XMR,crypto_currencies/coin_Monero.csv
DOT,crypto_currencies/coin_Polkadot.csv
USDC,crypto_currencies/coin_USDCoin.csv
UNI,crypto_currencies/coin_Uniswap.csv
BNB,crypto_currencies/coin_BinanceCoin.csv
MIOTA,crypto_currencies/coin_Iota.csv
AAVE,crypto_currencies/coin_Aave.csv
SOL,crypto_currencies/coin_Solana.csv
BTC,crypto_currencies/coin_Bitcoin.csv
ADA,crypto_currencies/coin_Cardano.csv
USDT,crypto_currencies/coin_Tether.csv
ATOM,crypto_currencies/coin_Cosmos.csv
LINK,crypto_currencies/coin_ChainLink.csv
LTC,crypto_currencies/coin_Litecoin.csv
XRP,crypto_currencies/coin_XRP.csv
ETH,crypto_currencies/coin_Ethereum.csv
TRX,crypto_currencies/coin_Tron.csv
XLM,crypto_currencies/coin_Stellar.csv
CRO,crypto_currencies/coin_CryptocomCoin.csv
DOGE,crypto_currencies/coin_Dogecoin.csv
WBTC,crypto_currencies/coin_WrappedBitcoin.csv
